Designation,Name,Location,Level_and_involvement,Total_applicants,Industry_and_Employee_count,LinkedIn_Followers
Associate-Account Management,Sutherland,"Chennai, Tamil Nadu, India",Full-time · Mid-Senior level,2 applicants,"10,001+ employees · IT Services and IT Consulting",
Technology Lead - Mainframe (5-8 years) - COIMBATORE,Infosys,"Coimbatore, Tamil Nadu, India",Full-time · Mid-Senior level,22 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,915 followers"
AGM - Account Manager Government,Vodafone Idea Limited,"Jaipur, Rajasthan, India",Contract · Mid-Senior level,76 applicants,"10,001+ employees · Telecommunications",
Technology Lead - Mainframe (5-8 years) - Gurgaon,Infosys,"Gurugram, Haryana, India",Full-time · Mid-Senior level,2 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,915 followers"
Senior Consultant-Technology & Implementation,Wipro,"Pune, Maharashtra, India",Full-time · Mid-Senior level,10 applicants,"10,001+ employees · IT Services and IT Consulting",
Techno Functional Consultant,Wipro,"Delhi, Delhi, India",Full-time · Mid-Senior level,30 applicants,"10,001+ employees · IT Services and IT Consulting",
Data Engineer,Tata Consultancy Services,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,8 applicants,"10,001+ employees · IT Services and IT Consulting","11,322,348 followers"
Associate Dotnet Developer,Uplers,"Gurugram, Haryana, India",Full-time · Mid-Senior level,33 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,158 followers"
Management Trainee - Fleet Management-BFS024269,Genpact,"Jaipur, Rajasthan, India",Full-time · Associate,52 applicants,"10,001+ employees · IT Services and IT Consulting",
Lead II - Software Engineering,UST,"Thiruvananthapuram, Kerala, India",Full-time · Mid-Senior level,4 applicants,"10,001+ employees · IT Services and IT Consulting",
Senior Data Engineer,Uplers,India,Full-time · Mid-Senior level,37 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,159 followers"
Technology Analyst - Java (3-5 years) - Indore,Infosys,"Indore, Madhya Pradesh, India",Full-time · Associate,46 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,924 followers"
SAP FI CO Finance Application Developer,Accenture in India,"Noida, Uttar Pradesh, India",Full-time · Mid-Senior level,3 applicants,"10,001+ employees · IT Services and IT Consulting",
